Kecepatan angin (ws),Arah Angin (wd)
6.99,124.20
6.72,123.20
5.89,125.50
5.78,130.30
6.47,123.70
5.53,133.80
5.88,128.60
6.34,131.20
6.61,120.40
5.96,112.50
6.03,116.90
6.01,107.30
6.40,94.50
5.28,96.60
3.59,127.60
3.21,128.80
3.86,109.70
5.72,123.10
5.93,120.20
6.07,122.50
6.38,110.40
6.59,110.00
6.36,110.60
6.30,115.00
6.24,119.80
5.60,124.30
6.59,125.10
5.99,133.90
5.32,124.20
6.23,120.20
5.83,125.70
5.73,115.90
6.41,125.00
6.83,117.30
6.21,115.00
5.90,118.50
5.78,111.70
5.62,114.80
5.66,121.50
5.01,133.10
3.86,104.50
3.80,113.30
5.18,117.80
5.99,122.90
6.58,122.90
6.70,121.90
5.71,122.30
4.18,122.60
4.83,136.10
6.56,115.30
6.91,119.80
6.83,119.90
6.93,121.50
6.47,121.50
6.73,123.70
6.87,122.90
6.95,132.90
3.24,135.90
4.16,140.40
5.95,144.20
5.19,122.50
22.51,195.80
4.88,122.40
4.07,144.90
2.94,111.70
4.81,113.90
5.56,123.10
5.97,121.90
5.93,121.20
5.86,161.50
6.69,138.30
